mx,my,yaw,cmd
164.657,-8.736,-74.021542,
165.924683,-14.02737,-76.966435,
166.755367,-16.443938,-63.495079,
171.231,-28.52,-63.69503,
172.03675,-30.39039,-61.507927,
175.354827,-42.544073,-75.120179,
176.574472,-45.377417,-65.749112,
177.391779,-47.246329,-68.000551,
184.65052,-67.383302,-72.002722,
186.166771,-69.866068,-63.357033,
190,-80.3,30,
195.197,-92.23,-71.563164,
195.982,-94.31,-72.855672,
199.53,-101.822,-66.690394,
204.307181,-112.93495,-66.690394,
205.108023,-114.847672,-68.114397,
205.846968,-116.763639,-69.35273,
210.499,-126.328,-68.730497,
212.378,-130.097,-68.730497,
