waypoint_line,left_x,left_y,right_x,right_y
35,162.306,9.324,160.175,2.825
36,164.325,3.475,161.675,1.475
37,168.325,-7.975,165.104,-8.865
38,171.317,-17.511,167.625,-19.175
39,174.575,-27.425,171.325,-28.547
40,178.175,-37.575,174.425,-38.325
41,181.325,-46.875,177.73,-48.137
42,184.875,-56.825,181.375,-58.625
43,188.425,-66.575,185.58,-68.562
44,192.375,-76.225,189.486,-77.18
45,196.675,-85.275,193.675,-86.725
46,200.836,-94.525,197.591,-96.547
47,205.125,-104.675,201.675,-105.975
48,209.42,-114.233,205.749,-115.655
49,213.325,-123.275,210.568,-124.754
50,218.029,-132.728,215.175,-134.625
51,222.759,-139.412,217.968,-139.690 
