mx,my,yaw,cmd
-38.741147,72.585418,-68.012589,
-35.935962,62.813723,-77.787337,
-33.300853,52.723518,-71.945366,
-33.700147,31.755942,-85.596411,
-32.51556,21.224434,-89.306893,
-23.980498,1.697964,-54.840845,
-21.156102,-1.506198,-19.589062,
-9.918127,-0.256677,5.956576,
0.743136,2.05712,11.448369,
10.843032,3.505432,5.518412,
21.255146,3.671874,-0.084092,
30.382646,3.341202,35.994783,
37.586928,11.195861,67.746777,
38.720213,29.966527,144.505591,
31.277176,32.299984,177.598428,
21.244848,31.971074,178.496286,
2.86,30.4,8.045722,
23.163714,31.331965,-3.241167,
33.501328,31.921235,11.924408,
38.720213,29.966527,-35.494409,
37.586928,11.195861,-472.253223,
35.227921,-0.048946,-21.03092,
44.975938,-3.053609,-19.228156,
55.343455,-6.804924,-16.225114,
65.153465,-10.468005,-21.44635,
75.0062,-13.623726,-21.23334,
84.58417,-17.855054,-26.487618,
101.200548,-14.910418,-9.140876,
106.842275,-13.328322,-5.91264,
117.09533,-12.055235,11.210723,
127.65113,-8.860175,23.561785,
146.611717,-0.316698,31.111207,
156.521743,3.281098,16.043868,
160.477631,3.835963,-15.519919,
162.530843,2.081264,-52.981042,
166.102422,-8.586053,-74.390781,
169.223208,-18.641405,-70.526523,
172.377788,-28.205347,-70.526523,
175.745403,-38.071733,-77.905891,
179.160499,-47.68583,-69.293371,
183.040085,-57.78853,-62.779129,
187.021542,-67.484974,-57.7951,
191.040514,-76.678098,-72.318069,
195.669133,-85.755594,-63.290527,
199.181743,-95.707117,-75.155265,
203.123087,-105.434634,-68.597783,
207.348888,-115.093219,-68.472477,
211.963158,-124.252349,-55.19941,
216.276789,-133.910344,-57.672897,
219.201626,-141.087202,-91.59931,
